
macaddr,os,accuracy,bool,osfamily,type,vendor,port
00:1E:64:EE:9E:8B,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,94,0,Microsoft,phone,Windows,135_tcp_open_
10:08:B1:64:D1:6F,WindowsServer,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,specialized,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,91,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,91,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,91,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,phone,Windows,135_tcp_open_
10:08:B1:64:D1:6F,WindowsServer,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,91,0,Microsoft,specialized,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
10:08:B1:64:D1:6F,MicrosoftWindows,87,0,Microsoft,general purpose,Windows,135_tcp_open_
14:2D:27:A6:2C:AB,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,49160_tcp_open_
14:2D:27:A6:2C:AB,Tomato1.28,100,0,Linux,WAP,Linux,49160_tcp_open_
14:2D:27:A6:2C:AB,Tomatofirmware,100,0,Linux,WAP,Linux,49160_tcp_open_
14:2D:27:A6:2C:AB,SonyEricsson,100,0,Sony Ericsson,phone,embedded,49160_tcp_open_
14:2D:27:D0:D4:9F,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
14:2D:27:D0:D4:9F,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
14:2D:27:D0:D4:9F,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
14:2D:27:D0:D4:9F,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
18:D6:C7:1C:39:17,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,8080_tcp_open_
18:D6:C7:1C:39:17,Tomato1.28,100,0,Linux,WAP,Linux,8080_tcp_open_
18:D6:C7:1C:39:17,Tomatofirmware,100,0,Linux,WAP,Linux,8080_tcp_open_
18:D6:C7:1C:39:17,SonyEricsson,100,0,Sony Ericsson,phone,embedded,8080_tcp_open_
28:C2:DD:A8:4C:15,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,135_tcp_open_
28:C2:DD:A8:4C:15,Tomato1.28,100,0,Linux,WAP,Linux,135_tcp_open_
28:C2:DD:A8:4C:15,Tomatofirmware,100,0,Linux,WAP,Linux,135_tcp_open_
28:C2:DD:A8:4C:15,SonyEricsson,100,0,Sony Ericsson,phone,embedded,135_tcp_open_
2C:D0:5A:DD:16:AA,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,445_tcp_open_
2C:D0:5A:DD:16:AA,Tomato1.28,100,0,Linux,WAP,Linux,445_tcp_open_
2C:D0:5A:DD:16:AA,Tomatofirmware,100,0,Linux,WAP,Linux,445_tcp_open_
2C:D0:5A:DD:16:AA,SonyEricsson,100,0,Sony Ericsson,phone,embedded,445_tcp_open_
30:10:B3:BA:B6:E5,FreeBSD6.2-RELEASE,94,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,FreeBSD6.2-RELEASE,92,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,FreeBSD6.2-RELEASE,94,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
30:10:B3:BA:B6:E5,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
34:23:87:2D:90:DD,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,445_tcp_open_
34:AB:37:6B:BA:28,AppleMac,100,1,Apple,general purpose,Mac OS X,62078_tcp_open_4_tcp_closed_33024_udp_closed_
34:DE:1A:3C:67:11,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,49159_tcp_open_
34:DE:1A:3C:67:11,Tomato1.28,100,0,Linux,WAP,Linux,49159_tcp_open_
34:DE:1A:3C:67:11,Tomatofirmware,100,0,Linux,WAP,Linux,49159_tcp_open_
34:DE:1A:3C:67:11,SonyEricsson,100,0,Sony Ericsson,phone,embedded,49159_tcp_open_
38:B1:DB:44:4E:8B,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
38:B1:DB:44:4E:8B,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
38:B1:DB:44:4E:8B,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
38:B1:DB:44:4E:8B,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
3C:77:E6:DB:05:57,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,5357_tcp_open_
3C:77:E6:DB:05:57,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,5357_tcp_open_
3C:77:E6:DB:05:57,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,5357_tcp_open_
3C:77:E6:DB:05:57,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,5357_tcp_open_
40:F0:2F:D3:81:31,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,8080_tcp_open_
40:F0:2F:D3:81:31,Tomato1.28,100,0,Linux,WAP,Linux,8080_tcp_open_
40:F0:2F:D3:81:31,Tomatofirmware,100,0,Linux,WAP,Linux,8080_tcp_open_
40:F0:2F:D3:81:31,SonyEricsson,100,0,Sony Ericsson,phone,embedded,8080_tcp_open_
48:5A:B6:C9:32:FD,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,49156_tcp_open_
48:5A:B6:C9:32:FD,Tomato1.28,100,0,Linux,WAP,Linux,49156_tcp_open_
48:5A:B6:C9:32:FD,Tomatofirmware,100,0,Linux,WAP,Linux,49156_tcp_open_
48:5A:B6:C9:32:FD,SonyEricsson,100,0,Sony Ericsson,phone,embedded,49156_tcp_open_
48:E2:44:BD:AF:FD,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
48:E2:44:BD:AF:FD,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
48:E2:44:BD:AF:FD,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
48:E2:44:BD:AF:FD,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,FreeBSD6.2-RELEASE,92,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,90,0,Microsoft,specialized,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
48:E2:44:D0:4C:79,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,FreeBSD6.2-RELEASE,90,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,89,0,Microsoft,phone,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,WindowsServer,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,88,0,Microsoft,specialized,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,86,0,Microsoft,general purpose,Windows,5357_tcp_open_
4C:BB:58:32:24:B1,MicrosoftWindows,85,0,Microsoft,general purpose,Windows,5357_tcp_open_
54:27:1E:17:32:65,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,445_tcp_open_
54:27:1E:17:32:65,Tomato1.28,100,0,Linux,WAP,Linux,445_tcp_open_
54:27:1E:17:32:65,Tomatofirmware,100,0,Linux,WAP,Linux,445_tcp_open_
54:27:1E:17:32:65,SonyEricsson,100,0,Sony Ericsson,phone,embedded,445_tcp_open_
54:27:1E:17:32:65,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,49155_tcp_open_
54:27:1E:17:32:65,Tomato1.28,100,0,Linux,WAP,Linux,49155_tcp_open_
54:27:1E:17:32:65,Tomatofirmware,100,0,Linux,WAP,Linux,49155_tcp_open_
54:27:1E:17:32:65,SonyEricsson,100,0,Sony Ericsson,phone,embedded,49155_tcp_open_
58:00:E3:8A:4F:2F,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,1688_tcp_open_
58:00:E3:8A:4F:2F,Tomato1.28,100,0,Linux,WAP,Linux,1688_tcp_open_
58:00:E3:8A:4F:2F,Tomatofirmware,100,0,Linux,WAP,Linux,1688_tcp_open_
58:00:E3:8A:4F:2F,SonyEricsson,100,0,Sony Ericsson,phone,embedded,1688_tcp_open_
5C:99:60:FF:D8:1F,Android5.0,100,1,Google,phone,Android,8007_tcp_open_1_tcp_closed_34263_udp_closed_
60:6D:C7:29:F6:F1,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,554_tcp_open_
60:6D:C7:29:F6:F1,Tomato1.28,100,0,Linux,WAP,Linux,554_tcp_open_
60:6D:C7:29:F6:F1,Tomatofirmware,100,0,Linux,WAP,Linux,554_tcp_open_
60:6D:C7:29:F6:F1,SonyEricsson,100,0,Sony Ericsson,phone,embedded,554_tcp_open_
60:6D:C7:29:F6:F1,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
60:6D:C7:29:F6:F1,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
60:6D:C7:29:F6:F1,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
60:6D:C7:29:F6:F1,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
60:6D:C7:A0:7E:C3,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
60:6D:C7:A0:7E:C3,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
60:6D:C7:A0:7E:C3,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
60:6D:C7:A0:7E:C3,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
64:27:37:A1:53:4F,MicrosoftWindows,100,1,Microsoft,general purpose,Windows,80_tcp_open_25_tcp_closed_
64:27:37:A1:53:4F,MicrosoftWindows,100,1,Microsoft,general purpose,Windows,80_tcp_open_25_tcp_closed_
74:29:AF:F7:52:DF,MicrosoftWindows,100,1,Microsoft,general purpose,Windows,135_tcp_open_25_tcp_closed_
74:29:AF:F7:52:DF,Version6.1,100,1,Microsoft,general purpose,Windows,135_tcp_open_25_tcp_closed_
74:29:AF:F8:0D:5F,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,1688_tcp_open_
74:29:AF:F8:0D:5F,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,1688_tcp_open_
74:DF:BF:5B:2A:59,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,445_tcp_open_
74:DF:BF:5B:2A:59,Tomato1.28,100,0,Linux,WAP,Linux,445_tcp_open_
74:DF:BF:5B:2A:59,Tomatofirmware,100,0,Linux,WAP,Linux,445_tcp_open_
74:DF:BF:5B:2A:59,SonyEricsson,100,0,Sony Ericsson,phone,embedded,445_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,902_tcp_open_
90:48:9A:2D:F1:93,WindowsServer,100,0,Microsoft,general purpose,Windows,902_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,902_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,specialized,Windows,902_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,phone,Windows,902_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,902_tcp_open_
90:48:9A:2D:F1:93,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,902_tcp_open_
A0:D3:7A:8A:42:01,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,445_tcp_open_
A0:D3:7A:8A:42:01,Tomato1.28,100,0,Linux,WAP,Linux,445_tcp_open_
A0:D3:7A:8A:42:01,Tomatofirmware,100,0,Linux,WAP,Linux,445_tcp_open_
A0:D3:7A:8A:42:01,SonyEricsson,100,0,Sony Ericsson,phone,embedded,445_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,FreeBSD6.2-RELEASE,90,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,89,0,Microsoft,phone,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,WindowsServer,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,88,0,Microsoft,specialized,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,86,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,85,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,FreeBSD6.2-RELEASE,94,0,FreeBSD,general purpose,FreeBSD,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,phone,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,WindowsServer,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,92,0,Microsoft,specialized,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,5357_tcp_open_
A4:DB:30:DF:8F:8E,MicrosoftWindows,89,0,Microsoft,general purpose,Windows,5357_tcp_open_
B4:6D:83:A8:E4:18,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,8080_tcp_open_
B4:6D:83:A8:E4:18,Tomato1.28,100,0,Linux,WAP,Linux,8080_tcp_open_
B4:6D:83:A8:E4:18,Tomatofirmware,100,0,Linux,WAP,Linux,8080_tcp_open_
B4:6D:83:A8:E4:18,SonyEricsson,100,0,Sony Ericsson,phone,embedded,8080_tcp_open_
B8:81:98:E0:90:1B,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,3306_tcp_open_
B8:81:98:E0:90:1B,Tomato1.28,100,0,Linux,WAP,Linux,3306_tcp_open_
B8:81:98:E0:90:1B,Tomatofirmware,100,0,Linux,WAP,Linux,3306_tcp_open_
B8:81:98:E0:90:1B,SonyEricsson,100,0,Sony Ericsson,phone,embedded,3306_tcp_open_
BC:77:37:81:52:C2,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,135_tcp_open_
BC:77:37:81:52:C2,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,135_tcp_open_
BC:77:37:81:52:C2,MicrosoftWindows,100,0,Microsoft,general purpose,Windows,135_tcp_open_
BC:85:56:13:A7:11,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
BC:85:56:13:A7:11,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
BC:85:56:13:A7:11,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
BC:85:56:13:A7:11,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
BC:85:56:B4:E1:DD,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5900_tcp_open_
BC:85:56:B4:E1:DD,Tomato1.28,100,0,Linux,WAP,Linux,5900_tcp_open_
BC:85:56:B4:E1:DD,Tomatofirmware,100,0,Linux,WAP,Linux,5900_tcp_open_
BC:85:56:B4:E1:DD,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5900_tcp_open_
BC:85:56:B4:E1:DD,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5900_tcp_open_
BC:85:56:B4:E1:DD,Tomato1.28,100,0,Linux,WAP,Linux,5900_tcp_open_
BC:85:56:B4:E1:DD,Tomatofirmware,100,0,Linux,WAP,Linux,5900_tcp_open_
BC:85:56:B4:E1:DD,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5900_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,93,0,Microsoft,phone,Windows,135_tcp_open_
C0:38:96:80:52:A9,WindowsServer,93,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,91,0,Microsoft,specialized,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,135_tcp_open_
C0:38:96:80:52:A9,MicrosoftWindows,87,0,Microsoft,general purpose,Windows,135_tcp_open_
C4:85:08:D2:FB:A9,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,9999_tcp_open_
C4:85:08:D2:FB:A9,Tomato1.28,100,0,Linux,WAP,Linux,9999_tcp_open_
C4:85:08:D2:FB:A9,Tomatofirmware,100,0,Linux,WAP,Linux,9999_tcp_open_
C4:85:08:D2:FB:A9,SonyEricsson,100,0,Sony Ericsson,phone,embedded,9999_tcp_open_
C8:FF:28:7E:88:1E,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,6646_tcp_open_
C8:FF:28:7E:88:1E,Tomato1.28,100,0,Linux,WAP,Linux,6646_tcp_open_
C8:FF:28:7E:88:1E,Tomatofirmware,100,0,Linux,WAP,Linux,6646_tcp_open_
C8:FF:28:7E:88:1E,SonyEricsson,100,0,Sony Ericsson,phone,embedded,6646_tcp_open_
CC:2F:71:03:7D:89,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,6646_tcp_open_
CC:2F:71:03:7D:89,Tomato1.28,100,0,Linux,WAP,Linux,6646_tcp_open_
CC:2F:71:03:7D:89,Tomatofirmware,100,0,Linux,WAP,Linux,6646_tcp_open_
CC:2F:71:03:7D:89,SonyEricsson,100,0,Sony Ericsson,phone,embedded,6646_tcp_open_
CC:B0:DA:46:6D:F1,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,6646_tcp_open_
CC:B0:DA:46:6D:F1,Tomato1.28,100,0,Linux,WAP,Linux,6646_tcp_open_
CC:B0:DA:46:6D:F1,Tomatofirmware,100,0,Linux,WAP,Linux,6646_tcp_open_
CC:B0:DA:46:6D:F1,SonyEricsson,100,0,Sony Ericsson,phone,embedded,6646_tcp_open_
D0:7E:35:AD:72:8F,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
D0:7E:35:AD:72:8F,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
D0:7E:35:AD:72:8F,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
D0:7E:35:AD:72:8F,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,93,0,Microsoft,phone,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,WindowsServer,93,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,93,0,Microsoft,general purpose,Windows,135_tcp_open_
